Variable Tuition Plan 2024 – 2025,,,,,,,,,,,,
,Resident / Undergraduate,Non-Resident / Undergraduate,Resident / Graduate,Non-Resident / Graduate,,,,,,,,
Credit Hours,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only
1,"$1,740","$1,648","$1,577","$4,685","$4,593","$4,522","$1,691","$1,599","$1,528","$2,489","$2,397","$2,326"
2,"$2,318","$2,226","$2,155","$6,278","$6,186","$6,115","$2,693","$2,601","$2,530","$4,005","$3,913","$3,842"
3,"$2,897","$2,805","$2,734","$7,871","$7,779","$7,708","$3,475","$3,383","$3,312","$5,499","$5,407","$5,336"
4,"$3,476","$3,384","$3,313","$9,464","$9,372","$9,301","$4,152","$4,060","$3,989","$6,917","$6,825","$6,754"
5,"$4,055","$3,963","$3,892","$11,057","$10,965","$10,894","$4,828","$4,736","$4,665","$8,335","$8,243","$8,172"
6,"$4,633","$4,541","$4,470","$12,651","$12,559","$12,488","$5,502","$5,410","$5,339","$9,751","$9,659","$9,588"
7,"$5,212","$5,120","$5,049","$14,244","$14,152","$14,081","$6,613","$6,521","$6,450","$11,788","$11,696","$11,625"
8,"$5,791","$5,699","$5,628","$15,837","$15,745","$15,674","$7,289","$7,197","$7,126","$13,188","$13,096","$13,025"
9,"$6,370","$6,278","$6,207","$17,429","$17,337","$17,266","$7,584","$7,492","$7,421","$14,774","$14,682","$14,611"
10,"$6,388","$6,296","$6,225","$17,497","$17,405","$17,334","$8,173","$8,081","$8,010","$15,816","$15,724","$15,653"
11,"$6,406","$6,314","$6,243","$17,564","$17,472","$17,401","$8,762","$8,670","$8,599","$17,082","$16,990","$16,919"
12,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"
13,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"
14,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"
15,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"
