Guaranteed Tuition Plan 2023 – 2024,,,,,,,,,,,,
,Resident / Undergraduate,Non-Resident / Undergraduate,Resident / Graduate,Non-Resident / Graduate,,,,,,,,
Credit Hours,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only
1,"$1,917","$1,839","$1,774","$5,231","$5,153","$5,088","$1,866","$1,788","$1,723","$2,777","$2,699","$2,634"
2,"$2,567","$2,489","$2,424","$7,025","$6,947","$6,882","$2,997","$2,919","$2,854","$4,535","$4,457","$4,392"
3,"$3,220","$3,142","$3,077","$8,818","$8,740","$8,675","$3,883","$3,805","$3,740","$6,272","$6,194","$6,129"
4,"$3,872","$3,794","$3,729","$10,610","$10,532","$10,467","$4,646","$4,568","$4,503","$7,923","$7,845","$7,780"
5,"$4,525","$4,447","$4,382","$12,406","$12,328","$12,263","$5,409","$5,331","$5,266","$9,573","$9,495","$9,430"
6,"$5,176","$5,098","$5,033","$14,198","$14,120","$14,055","$6,172","$6,094","$6,029","$11,223","$11,145","$11,080"
7,"$5,829","$5,751","$5,686","$15,992","$15,914","$15,849","$7,426","$7,348","$7,283","$13,550","$13,472","$13,407"
8,"$6,481","$6,403","$6,338","$17,785","$17,707","$17,642","$8,189","$8,111","$8,046","$15,183","$15,105","$15,040"
9,"$7,133","$7,055","$6,990","$19,577","$19,499","$19,434","$8,524","$8,446","$8,381","$16,607","$16,529","$16,464"
10,"$7,155","$7,077","$7,012","$19,651","$19,573","$19,508","$9,214","$9,136","$9,071","$18,254","$18,176","$18,111"
11,"$7,174","$7,096","$7,031","$19,726","$19,648","$19,583","$9,902","$9,824","$9,759","$19,754","$19,676","$19,611"
12,"$8,206","$8,128","$8,063","$22,550","$22,472","$22,407","$10,418","$10,340","$10,275","$21,156","$21,078","$21,013"
13,"$8,206","$8,128","$8,063","$22,550","$22,472","$22,407","$10,418","$10,340","$10,275","$21,156","$21,078","$21,013"
14,"$8,206","$8,128","$8,063","$22,550","$22,472","$22,407","$10,418","$10,340","$10,275","$21,156","$21,078","$21,013"
15,"$8,206","$8,128","$8,063","$22,550","$22,472","$22,407","$10,418","$10,340","$10,275","$21,156","$21,078","$21,013"
