Guaranteed Tuition Plan 2022 – 2023,,,,,,,,,,,,
,Resident / Undergraduate,Non-Resident / Undergraduate,Resident / Graduate,Non-Resident / Graduate,,,,,,,,
Credit Hours,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only
1,"$1,917","$1,839","$1,774","$5,219","$5,141","$5,076","$1,866","$1,788","$1,723","$2,765","$2,687","$2,622"
2,"$2,567","$2,489","$2,424","$7,001","$6,923","$6,858","$2,997","$2,919","$2,854","$4,511","$4,433","$4,368"
3,"$3,220","$3,142","$3,077","$8,782","$8,704","$8,639","$3,883","$3,805","$3,740","$6,236","$6,158","$6,093"
4,"$3,872","$3,794","$3,729","$10,562","$10,484","$10,419","$4,646","$4,568","$4,503","$7,875","$7,797","$7,732"
5,"$4,525","$4,447","$4,382","$12,346","$12,268","$12,203","$5,409","$5,331","$5,266","$9,513","$9,435","$9,370"
6,"$5,176","$5,098","$5,033","$14,126","$14,048","$13,983","$6,172","$6,094","$6,029","$11,151","$11,073","$11,008"
7,"$5,829","$5,751","$5,686","$15,908","$15,830","$15,765","$7,426","$7,348","$7,283","$13,466","$13,388","$13,323"
8,"$6,481","$6,403","$6,338","$17,689","$17,611","$17,546","$8,189","$8,111","$8,046","$15,087","$15,009","$14,944"
9,"$7,133","$7,055","$6,990","$19,469","$19,391","$19,326","$8,524","$8,446","$8,381","$16,499","$16,421","$16,356"
10,"$7,155","$7,077","$7,012","$19,531","$19,453","$19,388","$9,214","$9,136","$9,071","$18,134","$18,056","$17,991"
11,"$7,174","$7,096","$7,031","$19,594","$19,516","$19,451","$9,902","$9,824","$9,759","$19,622","$19,544","$19,479"
12,"$8,206","$8,128","$8,063","$22,406","$22,328","$22,263","$10,418","$10,340","$10,275","$21,012","$20,934","$20,869"
13,"$8,206","$8,128","$8,063","$22,406","$22,328","$22,263","$10,418","$10,340","$10,275","$21,012","$20,934","$20,869"
14,"$8,206","$8,128","$8,063","$22,406","$22,328","$22,263","$10,418","$10,340","$10,275","$21,012","$20,934","$20,869"
15,"$8,206","$8,128","$8,063","$22,406","$22,328","$22,263","$10,418","$10,340","$10,275","$21,012","$20,934","$20,869"
