Scholarship name,School,Academic Program,Status,Deadline
TBA Accounting Student Scholarship Program,Naveen Jindal School of Management,Accounting,Closed,
Capital One Scholarship in Applied Experience Design & Research,All Schools,All,Closed,
Douglas Aundre Peterson Scholarship Fund,All Schools,All,Closed,
HASAL Scholarship,All Schools,Stem Majors,Closed,
Marvin and Kathleen Stone Scholarship/Fellowship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,
Dr. John Jagger Scholarship,School of Natural Sciences and Mathematics,All Majors,Closed,
Pirkul Family Scholarship,Naveen Jindal School of Management,All Majors,Closed,
Mezenner Family Scholarship,All Schools,Stem Majors,Closed,
Comet Scholars Program,All Schools,All,Closed,
Choral Arts Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All,Closed,
Braniff Airways Student Support Fund,School of Natural Sciences and Mathematics,Sciences,Closed,
Margie Renfrow Graduate Student Support Fund,School of Natural Sciences and Mathematics,Physics,Closed,
Retention Scholarship,All Schools,All Majors,Closed,
Loanne and Joe Chiu Scholarship,All Schools,All,Closed,
Dennis M. Kratz Research Fund,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,
The Nina and Thomas Lambert Scholarship/Fellowship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,
Dr. John Hoffman Memorial Scholarship in Physics,School of Natural Sciences and Mathematics,Physics,Closed,
UT System Strada Education Network Scholarship,All Schools,All Majors,Closed,
Ryan Siddique Scholarship Fund,All Schools,All,Closed,
UT Dallas Teaching Scholars,All Schools,All Majors,Closed,
Scott Wuensch Memorial Scholarship,All Schools,Stem Majors,Closed,
Ivan Sotelo Fellowship,All Schools,All Majors,Closed,
Neila Skinner Petrick and Thomas W. Petrick Endowed Scholarship for the School of Interdisciplinary Studies,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
Choo Family Scholarship/Fellowship,All Schools,All Majors,Closed,
Stacey and Donald Kivowitz Scholarship,All Schools,All Majors,Closed,
"Rion Morgan and James Dunlop –
A Scholarship in Technology and Engineering","Erik Jonsson School of Engineering and Computer Science
School of Natural Sciences and Mathematics",All,Closed,
Frances Jean Eichorst Endowed Scholarship,School of Interdisciplinary Studies,All Majors,Closed,
Indian Students Association Scholarship,All Schools,All Majors,Closed,
Asif and Attiya Effendi Scholarship/Fellowship,,All Majors,Closed,
Greater Dallas Taiwanese Chamber of Commerce Scholarship/Fellowship,All Schools,All Majors,Closed,
Keith – Huckaba Endowed Scholarship Support Fund,All Schools,All,Closed,
Ragen S. and Roy D. Elterman Endowed Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,
Raytheon Technologies Veteran STEM Award,All Schools,All Majors,Closed,
State Farm Veteran Award,All Schools,All Majors,Closed,
UT Dallas Presidential Achievement Scholarship,All Schools,All Majors,Closed,
The Ram Lal Seekri Scholarship for Academic Bridge Program Participants,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
Judy and Larry Sall Scholarship Fund,All Schools,All Majors,Closed,
Ashraf Habibullah N.E.D. Scholarship/Fellowship,All Schools,All Majors,Closed,
Syed Ali Rizvi Scholarship/Fellowship,All Schools,All Majors,Closed,
NASIM Foundation Endowed Scholarship,All Schools,All Majors,Closed,
Bangladeshi Community Scholarship,All Schools,All,Closed,
Kathy Dress Scholarship/Fellowship,All Schools,All Majors,Closed,
Marjorie Duckworth Endowment Award,All Schools,All Majors,Closed,
Anthony (Tony) Cross Memorial Endowed Student Support Award,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,
DeFrank Endowed Scholarship,School of Interdisciplinary Studies,All Majors,Closed,
Jane Marie Grace Hicks Memorial Scholarship/Fellowship,All Schools,All Majors,Closed,
HumCap STEM Scholarship,All Schools,All Majors,Closed,
Ray Allum Math & Physics Scholarship Fund,,Physics,Closed,
Indian Alumni Network Scholarship,All Schools,All Majors,Closed,
Dr. Anson L. Clark Presidential Scholarship,All Schools,All,Closed,
UTD Women’s Club – Amelia A. Lundell Textbook Scholarship Fund,All Schools,All,Closed,
UTD Alumni Endowed Scholarship,All Schools,All,Closed,
Anselme Thierry Bony Scholarship,All Schools,All Majors,Closed,
Aage and Margareta Moller Endowed Scholarship,All Schools,All Majors,Closed,
Minnie K. Patton Foundation Scholarship,All Schools,All Majors,Closed,
Northwood Woman’s Club Scholarship,All Schools,All,Closed,
Jonelle and Bryce Jordan Scholarship in the Arts,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All,Closed,
Robert Plant Armstrong Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All,Closed,
William B. Hanson Student Support Fund,School of Natural Sciences and Mathematics,All Majors,Closed,
J.E. (Yank) Henry Memorial Scholarship,All Schools,All,Closed,
Mei Lein Fellowship,School of Natural Sciences and Mathematics,All,Closed,
Sungkyunkwan University Scholarship,School of Natural Sciences and Mathematics,All Majors,Closed,
Julia Williams Van Ness Merit Scholarship,School of Natural Sciences and Mathematics,All,Closed,
Eric Moore Chemistry Graduate Student Scholarship,School of Natural Sciences and Mathematics,Chemistry,Closed,
"Greater Texas Foundation –
Â Alan G. MacDiarmid Removing Educational Barriers",School of Natural Sciences and Mathematics,All,Closed,
Daniel L. Harris Biology Scholarship,School of Natural Sciences and Mathematics,Biology,Closed,
Bob and Carol Williams Entrepreneurial Scholarship,Naveen Jindal School of Management,All Majors,Closed,
Ahmed Family Bangladesh Scholarship,All Schools,All Majors,Closed,
Greater Texas Foundation – Removing Educational Barriers Scholarship,All Schools,All Majors,Closed,
Carolyn Galerstein Endowed Scholarship,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
"Bioinformatics and Computational Biology
Graduate Study Scholarship",School of Natural Sciences and Mathematics,All,Closed,
Mahatma Gandhi Memorial of North Texas Scholarship,All Schools,All Majors,Closed,
Sustainable Earth Systems Sciences Scholarship,School of Natural Sciences and Mathematics,Geosciences,Closed,
Greater Texas Foundation – Tech Titans Removing Educational Barriers Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,
Robert S. Nelsen Scholarship in Creative Writing,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,
Van Amburgh Scholarship,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
Donald E. Hicks Memorial Award for U.S. Armed Forces Veterans,All Schools,Interdisciplinary Studies,Closed,
Turkish Student Organization Scholarship,All Schools,All Majors,Closed,
Bangladeshi Student Organization Alumni Scholarship,All Schools,All Majors,Closed,
Terry Foundation Scholarship,All Schools,All Majors,Closed,
First Graduates Endowed Scholarship,All Schools,All Majors,Closed,
Mathew Sisters Endowed Scholarship,All Schools,All,Closed,
Society of Iranian-American Women for Education,All Schools,All Majors,Closed,
