Classification,Date,DETAILS
State Aid Recipients (new and continuing),04/15/2024,fall_2024_and_spring_2025financial_aid_priority_deadline
New Freshmen Students,05/01/2024,fall_2024_and_spring_2025financial_aid_priority_deadline
New Transfer Students,05/01/2024,fall_2024_and_spring_2025financial_aid_priority_deadline
New Graduate Students,05/01/2024,fall_2024_and_spring_2025financial_aid_priority_deadline
Continuing Students,05/01/2024,fall_2024_and_spring_2025financial_aid_priority_deadline
State Aid Recipients (new and continuing),02/15/2025,fall_2025_and_spring_2026financial_aid_priority_deadline
New Freshmen Students,02/15/2025,fall_2025_and_spring_2026financial_aid_priority_deadline
New Transfer Students,02/15/2025,fall_2025_and_spring_2026financial_aid_priority_deadline
New Graduate Students,02/15/2025,fall_2025_and_spring_2026financial_aid_priority_deadline
Continuing Students (non-state aid recipients),03/15/2025,fall_2025_and_spring_2026financial_aid_priority_deadline
New and Continuing Students,03/31/2025,summer_2025_financial_aid_prioritydeadline
New and Continuing Students,03/31/2026,summer_2026_financial_aid_prioritydeadline
